domain_length,domain_num_of_unique_char,domain_num_of_unique_letters,domain_num_of_unique_numbers,ratio_of_letters_of_domain_name,ratio_of_numbers_of_domain_name,ratio_of_unique_letters_to_num_of_unique_characters,ratio_of_unique_numbers_to_num_of_unique_characters,entropy,vowel_consonant_ratio,dict_ratio,domain_class
28,21,16,5,0.7142857142857143,0.2857142857142857,0.7619047619047619,0.23809523809523808,4.208966082694623,0.3333333111111126,0.0,dga
27,18,13,5,0.6666666666666666,0.3333333333333333,0.7222222222222222,0.2777777777777778,4.0043444463675275,0.12499999218750048,0.0,dga
27,19,12,7,0.5555555555555556,0.4444444444444444,0.631578947368421,0.3684210526315789,4.106377316818026,0.3636363305785154,0.0,dga
25,16,9,7,0.52,0.48,0.5625,0.4375,3.893660689688186,0.1818181652892577,0.0,dga
27,18,14,4,0.7407407407407407,0.25925925925925924,0.7777777777777778,0.2222222222222222,3.986187965046303,0.3333333111111126,0.0,dga
26,18,14,4,0.8076923076923077,0.19230769230769232,0.7777777777777778,0.2222222222222222,4.056020968057882,0.04999999750000012,0.0,dga
28,19,13,6,0.6428571428571429,0.35714285714285715,0.6842105263157895,0.3157894736842105,4.066108939837481,0.2857142653061239,0.0,dga
26,15,10,5,0.5769230769230769,0.4230769230769231,0.6666666666666666,0.3333333333333333,3.7192945256669794,0.07142856632653098,0.0,dga
11,10,8,2,0.8181818181818182,0.18181818181818182,0.8,0.2,3.2776134368191157,0.49999991666668053,0.0,legit
11,10,8,2,0.8181818181818182,0.18181818181818182,0.8,0.2,3.2776134368191157,0.49999991666668053,0.0,legit
12,8,6,2,0.8333333333333334,0.16666666666666666,0.75,0.25,2.7516291673878226,0.4285713673469475,0.0,legit
15,8,6,2,0.8666666666666667,0.13333333333333333,0.75,0.25,2.872905595320056,0.6249999218750099,0.0,legit
26,19,14,5,0.6538461538461539,0.34615384615384615,0.7368421052631579,0.2631578947368421,4.132944044980959,0.21428569897959293,0.0,dga
27,18,12,6,0.5555555555555556,0.4444444444444444,0.6666666666666666,0.3333333333333333,4.032303242743952,0.499999950000005,0.0,dga
26,21,13,8,0.5769230769230769,0.4230769230769231,0.6190476190476191,0.38095238095238093,4.286790198827113,0.15384614201183525,0.0,dga
27,18,13,5,0.7037037037037037,0.2962962962962963,0.7222222222222222,0.2777777777777778,4.0043444463675275,0.11764705190311459,0.0,dga
28,20,15,5,0.6428571428571429,0.35714285714285715,0.75,0.25,4.164497779200461,0.2857142653061239,0.0,dga
27,16,12,4,0.7037037037037037,0.2962962962962963,0.75,0.25,3.7504647066537,0.4615384260355057,0.0,dga
13,11,9,2,0.8461538461538461,0.15384615384615385,0.8181818181818182,0.18181818181818182,3.3927474104487847,0.3749999531250059,0.0,legit
27,18,14,4,0.7777777777777778,0.2222222222222222,0.7777777777777778,0.2222222222222222,4.060262039120377,0.23529410380622917,0.0,dga
27,19,11,8,0.48148148148148145,0.5185185185185185,0.5789473684210527,0.42105263157894735,4.060262039120377,0.08333332638888948,0.0,dga
27,16,10,6,0.6666666666666666,0.3333333333333333,0.625,0.375,3.7784235030301248,0.19999998666666757,0.0,dga
27,17,11,6,0.6666666666666666,0.3333333333333333,0.6470588235294118,0.35294117647058826,3.8380398168981547,0.3846153550295881,0.0,dga
25,20,15,5,0.68,0.32,0.75,0.25,4.243856189774725,0.13333332444444504,0.0,dga
26,21,17,4,0.7692307692307693,0.23076923076923078,0.8095238095238095,0.19047619047619047,4.315824333525708,0.24999998437500096,0.0,dga
26,18,13,5,0.7692307692307693,0.23076923076923078,0.7222222222222222,0.2777777777777778,3.979097891134805,0.24999998437500096,0.0,dga
27,20,16,4,0.6666666666666666,0.3333333333333333,0.8,0.2,4.180451390892101,0.2857142653061239,0.0,dga
26,16,10,6,0.5,0.5,0.625,0.375,3.796217602590056,0.1818181652892577,0.0,dga
28,16,8,8,0.5357142857142857,0.4642857142857143,0.5,0.5,3.767375797816042,0.8749998906250137,0.0,dga
27,19,12,7,0.5555555555555556,0.4444444444444444,0.631578947368421,0.3684210526315789,4.088220835496801,0.2499999791666684,0.0,dga
27,19,11,8,0.48148148148148145,0.5185185185185185,0.5789473684210527,0.42105263157894735,4.060262039120377,0.299999970000003,0.0,dga
26,17,11,6,0.5769230769230769,0.4230769230769231,0.6470588235294118,0.35294117647058826,3.921029621737615,0.2499999791666684,0.0,dga
27,19,14,5,0.7407407407407407,0.25925925925925924,0.7368421052631579,0.2631578947368421,4.060262039120377,0.24999998437500096,0.0,dga
16,13,11,2,0.875,0.125,0.8461538461538461,0.15384615384615385,3.625,0.39999996000000404,0.0,legit
7,7,5,2,0.7142857142857143,0.2857142857142857,0.7142857142857143,0.2857142857142857,2.8073549220576037,0.24999993750001562,0.0,legit
26,12,7,5,0.6153846153846154,0.38461538461538464,0.5833333333333334,0.4166666666666667,3.4116022179746714,0.14285713265306196,0.0,dga
25,18,13,5,0.64,0.36,0.7222222222222222,0.2777777777777778,4.003856189774725,0.06666666222222252,0.0,dga
26,16,12,4,0.6923076923076923,0.3076923076923077,0.75,0.25,3.873140679513133,0.4999999583333368,0.0,dga
26,22,15,7,0.6923076923076923,0.3076923076923077,0.6818181818181818,0.3181818181818182,4.392747410448784,0.3846153550295881,0.0,dga
26,19,13,6,0.6923076923076923,0.3076923076923077,0.6842105263157895,0.3157894736842105,4.132944044980959,0.19999998666666757,0.0,dga
9,8,6,2,0.6666666666666666,0.2222222222222222,0.75,0.25,3.169925001442312,0.49999987500003124,0.0,legit
9,8,6,2,0.6666666666666666,0.2222222222222222,0.75,0.25,3.169925001442312,0.49999987500003124,0.0,legit
9,8,6,2,0.6666666666666666,0.2222222222222222,0.75,0.25,3.169925001442312,0.49999987500003124,0.0,legit
9,9,7,2,0.7777777777777778,0.2222222222222222,0.7777777777777778,0.2222222222222222,3.169925001442312,0.7499998125000469,0.0,legit
27,18,14,4,0.7407407407407407,0.25925925925925924,0.7777777777777778,0.2222222222222222,4.0043444463675275,0.11111110493827195,0.0,dga
